City	State	Country
Hadjout	Tipaza	Algeria
Kolea	Tipaza	Algeria
Baba Hassen	Tipaza	Algeria
Zeralda	Tipaza	Algeria
Saoula	Tipaza	Algeria
Fouka	Tipaza	Algeria
Douera	Tipaza	Algeria
El Affroun	Tipaza	Algeria
Staoueli	Tipaza	Algeria
Ouled Beni Messous	Tipaza	Algeria
Cherchell	Tipaza	Algeria
Oued el Alleug	Tipaza	Algeria
Birtouta	Tipaza	Algeria
Ahmer el 'Ain	Tipaza	Algeria
Mouzaia	Tipaza	Algeria
Ouled Fayet	Tipaza	Algeria
Menaceur	Tipaza	Algeria
Tipasa	Tipaza	Algeria
Bourkika	Tipaza	Algeria
Merad	Tipaza	Algeria
Ben 'Aknoun	Tipaza	Algeria
Sidi Ghiles	Tipaza	Algeria
Tissemsilt	Tissemsilt	Algeria
Bordj Bounaama	Tissemsilt	Algeria
Tizi Ouzou	Tizi Ouzou	Algeria
Bou Saada	Tizi Ouzou	Algeria
Azazga	Tizi Ouzou	Algeria
Boghni	Tizi Ouzou	Algeria
L'Arbaa Nait Irathen	Tizi Ouzou	Algeria
Timizart	Tizi Ouzou	Algeria
Mekla	Tizi Ouzou	Algeria
Freha	Tizi Ouzou	Algeria
Beni Douala	Tizi Ouzou	Algeria
'Ain el Hammam	Tizi Ouzou	Algeria
Tirmitine	Tizi Ouzou	Algeria
Ain Zaouia	Tizi Ouzou	Algeria
Tizi Rached	Tizi Ouzou	Algeria
Ighram	Tizi Ouzou	Algeria
Azeffoun	Tizi Ouzou	Algeria
Ouadhia	Tizi Ouzou	Algeria
Boudjima	Tizi Ouzou	Algeria
Tizi-n-Tleta	Tizi Ouzou	Algeria
Chemini	Tizi Ouzou	Algeria
Ait Yaich	Tizi Ouzou	Algeria
Iflissen	Tizi Ouzou	Algeria
Mechtras	Tizi Ouzou	Algeria
Arhribs	Tizi Ouzou	Algeria
Iferhounene	Tizi Ouzou	Algeria
Yakouren	Tizi Ouzou	Algeria
Tigzirt	Tizi Ouzou	Algeria
Souama	Tizi Ouzou	Algeria
Bou Nouh	Tizi Ouzou	Algeria
Ifigha	Tizi Ouzou	Algeria
Maghnia	Tlemcen	Algeria
Tlemcen	Tlemcen	Algeria
Chetouane	Tlemcen	Algeria
Sebdou	Tlemcen	Algeria
Ghazaouet	Tlemcen	Algeria
Nedroma	Tlemcen	Algeria
Remchi	Tlemcen	Algeria
Sabra	Tlemcen	Algeria
Hennaya	Tlemcen	Algeria
Ouled Mimoun	Tlemcen	Algeria
Souahlia	Tlemcen	Algeria
Ain Youcef	Tlemcen	Algeria
Bensekrane	Tlemcen	Algeria
'Ain Tellout	Tlemcen	Algeria
Touggourt	Touggourt	Algeria
Pago Pago		American Samoa
Andorra la Vella	Andorra la Vella	Andorra
Sant Pere	Canillo	Andorra
Canillo	Canillo	Andorra
Encamp	Encamp	Andorra
Escaldes-Engordany	Escaldes-Engordany	Andorra
La Massana	La Massana	Andorra
Ordino	Ordino	Andorra
Sant Julia de Loria	Sant Julià de Lòria	Andorra
Barra do Dande	Bengo	Angola
Caxito	Bengo	Angola
Nambuangongo	Bengo	Angola
Ambriz	Bengo	Angola
Lucala	Bengo	Angola
Quibaxi	Bengo	Angola
Bula Atumba	Bengo	Angola
Benguela	Benguela	Angola
Lobito	Benguela	Angola
Cubal	Benguela	Angola
Ganda	Benguela	Angola
Catumbela	Benguela	Angola
Bocoio	Benguela	Angola
Balombo	Benguela	Angola
Baia Farta	Benguela	Angola
Caimbambo	Benguela	Angola
Chongoroi	Benguela	Angola
Cuito	Bié	Angola
Andulo	Bié	Angola
Chinguar	Bié	Angola
Catabola	Bié	Angola
Chitembo	Bié	Angola
Chitemo	Bié	Angola
Cunhinga	Bié	Angola
Camacupa	Bié	Angola
Cuemba	Bié	Angola
Calenga	Bié	Angola
Cabinda	Cabinda	Angola
Cacongo	Cabinda	Angola
Buco Zau	Cabinda	Angola
Menongue	Cuando Cubango	Angola
Cuchi	Cuando Cubango	Angola
Cuito Cuanavale	Cuando Cubango	Angola
Cazanga	Cuanza-Norte	Angola
Ndalatando	Cuanza-Norte	Angola
Cambambe	Cuanza-Norte	Angola
Dondo	Cuanza-Norte	Angola
Camabatela	Cuanza-Norte	Angola
Cacuso	Cuanza-Norte	Angola
Golungo Alto	Cuanza-Norte	Angola
Bolongongo	Cuanza-Norte	Angola
Banga	Cuanza-Norte	Angola
Quiculungo	Cuanza-Norte	Angola
Sumbe	Cuanza-Sul	Angola
Gabela	Cuanza-Sul	Angola
Uacu Cungo	Cuanza-Sul	Angola
Ucu Seles	Cuanza-Sul	Angola
Ebo	Cuanza-Sul	Angola
Quibala	Cuanza-Sul	Angola
Porto Amboim	Cuanza-Sul	Angola
Cassongue	Cuanza-Sul	Angola
Quilenda	Cuanza-Sul	Angola
Conda	Cuanza-Sul	Angola
Mussende	Cuanza-Sul	Angola
Sungo	Cuanza-Sul	Angola
Calulo	Cuanza-Sul	Angola
Massango	Cuanza-Sul	Angola
Namacunde	Cunene	Angola
Ondjiva	Cunene	Angola
Xangongo	Cunene	Angola
Cahama	Cunene	Angola
Cuvelai	Cunene	Angola
Tchitado	Cunene	Angola
Huambo	Huambo	Angola
Vila Teixeira da Silva	Huambo	Angola
Caala	Huambo	Angola
Ndulo	Huambo	Angola
Londuimbali	Huambo	Angola
Catchiungo	Huambo	Angola
Mungo	Huambo	Angola
Longonjo	Huambo	Angola
Ucuma	Huambo	Angola
Tchindjendje	Huambo	Angola
Lubango	Huíla	Angola
Matala	Huíla	Angola
Chibia	Huíla	Angola
Caluquembe	Huíla	Angola
Caluquembe	Huíla	Angola
Catape	Huíla	Angola
Caconda	Huíla	Angola
Quipungo	Huíla	Angola
Cacula	Huíla	Angola
Chicomba	Huíla	Angola
Quilengues	Huíla	Angola
Ndjamba	Huíla	Angola
Humpata	Huíla	Angola
Chibemba	Huíla	Angola
Kuvango	Huíla	Angola
Chipindo	Huíla	Angola
Luanda	Luanda	Angola
Cacuaco	Luanda	Angola
Cazenga	Luanda	Angola
Belas	Luanda	Angola
